,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
147,1.2452547668043243,11,42,0.594,0.915,0.2696672372435244,0.1629573447651166,0.8071083249524236
166,1.2632888619421632,20,71,0.527,0.765,0.13758189455954128,0.7674804079000865,1.1324725889135152
32,1.2741450033619204,13,115,0.62,0.731,0.11972590806110495,1.1310269974414784,1.890440996037796
197,1.2747260210673648,13,38,0.491,0.865,0.2785801141095234,1.892613426518472,0.7209993000142276
232,1.2753037390083466,19,67,0.5660000000000001,0.956,0.10103143441224438,0.7210832876904844,1.054202483035624
26,1.2757688550565829,13,104,0.59,0.816,0.12311588733302074,0.2071456195079912,1.2824276199098676
156,1.2807250287052183,17,58,0.614,0.7609999999999999,0.2961828474121363,1.9131693108984866,1.0017999380361289
135,1.2807269315579055,10,44,0.716,0.996,0.46079546187900794,1.026853461156988,0.8208702930714935
207,1.2824086991757409,3,60,0.575,0.8959999999999999,0.1129851512448874,4.150464009829759,1.6312096379697325
145,1.2834330734736594,10,50,0.58,0.987,0.14269804512812734,0.3789197253071308,0.9584532238077372
236,1.2911648677384595,6,39,0.747,0.976,0.2662353677241248,1.0097609961153702,0.7641533759888262
234,1.2944069552364257,2,62,0.632,0.925,0.606834589272619,4.430495930511354,1.2109016650356352
146,1.295126963785846,14,51,0.64,0.996,0.7552340509359226,0.982148477284442,1.0310180131345987
129,1.3017684104829093,10,124,0.509,0.997,0.10180219686536532,0.5978831031692109,1.3122086350340396
84,1.30181781335731,4,113,0.496,0.6759999999999999,0.1068052196287301,4.300947589957806,1.7816093461588025
190,1.3069809635561394,12,112,0.598,0.8340000000000001,0.5698634688701429,0.33947793777981683,1.742223528912291
235,1.3070856092474572,22,73,0.514,0.7,0.934684238743782,2.9678752576704235,1.1431535808369515
181,1.3073971618439226,2,67,0.5870000000000001,0.77,1.1035779068437603,0.2888640030462533,1.3363064979203043
153,1.3094185447291151,11,53,0.627,0.802,0.653301983484874,2.50120757712282,1.0199804829899222
148,1.3139666154382414,8,47,0.7040000000000001,0.9359999999999999,0.8814500723838579,0.11021112727338027,0.8606408468913287
73,1.3160945732308007,12,105,0.6,0.78,1.008933961979399,1.800401790718133,1.9844952849671245
23,1.316597853823303,17,120,0.8109999999999999,0.9570000000000001,0.2826769136594183,0.15256757127072218,1.2856465799268335
230,1.3217932656517977,4,53,0.5429999999999999,0.5670000000000001,0.8035495826005646,0.3713816652626904,0.955656746868044
97,1.3223642446771062,4,120,0.54,0.732,0.2988017189777423,3.4647307745092464,1.6726107960566878
150,1.3283725195979803,12,32,0.784,0.879,0.39132129955335,0.7770543135444655,0.6726676640100777
117,1.3357908824990845,7,108,0.6459999999999999,0.972,0.2577269101770352,5.720907941379743,1.298530610045418
37,1.3360458295503348,21,95,0.578,0.629,0.7713642802545788,2.207943501780862,1.843319488922134
67,1.3396594186456177,15,124,0.705,0.972,0.6072223983830858,1.2576828067271792,1.7856346990447491
227,1.3416141254740763,23,48,0.485,0.297,1.0898496904240214,0.13077684177632454,0.91345681482926
65,1.3440602364899477,17,120,0.8390000000000001,0.9570000000000001,0.1485493412094495,0.14792886152308884,1.2004348188638687
89,1.3459524996234744,6,80,0.488,0.38799999999999996,0.4460308343820509,8.987983895800904,1.318259670864791
21,1.3500118967296444,15,128,0.8059999999999999,0.943,0.329040194594993,0.454079493465315,1.1212581298314035
106,1.352108665901893,11,115,0.511,0.804,1.6650784902753808,6.14114996419417,1.677522276993841
24,1.3538197227478757,14,119,0.807,0.9990000000000001,0.3606455839101629,0.2971365526405978,1.191320345969871
69,1.3542298341888004,17,104,0.828,0.932,0.40946494534788025,1.45768646979906,1.2975882429163903
242,1.3543103234382898,17,49,0.809,0.8170000000000001,0.4416185791636075,0.33454237891624616,1.203616586048156
191,1.355732958933772,9,96,0.625,0.883,1.216993862386644,1.222548166252127,1.6360910271760076
149,1.35600201212098,13,41,0.6,0.779,1.2704704194236958,1.2685408414133694,0.7466003680601716
28,1.3571341354804085,13,110,0.552,0.109,1.575000035333692,1.6785722669766132,1.79883410804905
22,1.359042233870427,16,127,0.79,0.8759999999999999,0.37889613839292735,1.6138121493172235,1.58862408506684
158,1.362014097673646,17,58,0.613,0.758,1.6650396599065949,2.8295265384076966,0.9830966009758412
188,1.3620600687482356,7,120,0.866,0.706,2.1019935960395983,2.2298451685069405,1.805067895911634
139,1.3622622271236522,8,68,0.7090000000000001,0.8320000000000001,0.36698570535780217,1.6501349559519396,1.2042587180621922
186,1.3625816271783102,13,104,0.738,0.9259999999999999,0.3599001953461149,2.8540146468726637,1.4390108489897102
46,1.3647288024281363,6,98,0.6779999999999999,0.835,0.10381739479831477,5.933335711511841,1.6827037949115038
57,1.36478914627936,22,127,0.768,0.797,0.5780187144712291,0.6011090062970011,1.6813617181032896
30,1.3673429418708403,21,121,0.741,0.624,1.0599875143773207,2.054918111058261,1.090898446040228
136,1.36829208910135,23,55,0.818,0.7909999999999999,0.5206918226118471,1.4335197592628728,0.97762967296876
183,1.3711810196875285,18,71,0.635,0.736,0.860852099394134,1.0740699497168218,1.0931704440154135
74,1.3737256653994403,7,85,0.52,0.7609999999999999,0.9675315713416688,3.232551351303589,1.410336913075298
221,1.374629365495522,18,41,0.586,0.682,0.11514134320116964,1.3834792003084442,0.967218792065978
173,1.3767061899363966,25,91,0.537,0.8109999999999999,0.1093206909198283,1.387777141762499,1.4480380360037088
142,1.3770548988891798,18,45,0.6809999999999999,0.899,1.038412875797378,1.3455368621575932,0.8288494730368257
215,1.3771480172463182,12,59,0.682,0.48,1.6664127550148056,1.819709813130472,2.25934390979819
152,1.377270856352908,11,40,0.752,0.915,1.4286679588716835,0.4765021747704631,0.6335063760634512
162,1.3782239167673482,15,64,0.643,0.778,1.4927289696319497,1.496890754001625,1.0167195808608085
114,1.3798064987276633,9,91,0.613,0.48200000000000004,0.4752644027780441,1.6046627578291353,1.4292440130375326
