,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
457,3.1522841420668284,6,58,0.737,0.9390000000000001,0.11771851291840565,2.7630021067447728,1.0494887649547309
343,3.1575543974863343,4,50,0.7120000000000001,0.8759999999999999,0.8565286996537627,2.7421312683112733,0.9811389720998704
402,3.1593954904774977,6,59,0.732,0.903,0.5544660548450141,2.024333651756816,2.0291623070370406
325,3.1604022696168106,6,51,0.731,0.9309999999999999,0.10699625962582453,3.185813957127924,0.9443053011782468
283,3.1649183239454817,7,63,0.757,0.797,0.2607450750196638,3.48229452937226,1.2033348469994962
478,3.165734986969772,2,48,0.845,0.9,1.1326625520521725,2.0889837308810697,0.9977760401088744
404,3.1670774755629143,6,60,0.745,0.9390000000000001,0.7692069404576638,2.401894463383341,1.1614467299077658
373,3.16751258944358,4,55,0.6990000000000001,0.965,0.3077818688365037,3.4055551354533167,1.4849420299287883
285,3.1691396975688786,8,61,0.732,0.924,0.5638282334079573,3.4788738100544565,1.916341156931594
322,3.1725143629470995,5,59,0.745,0.9,0.1059539355085982,1.7809772772717574,1.0887416191399095
471,3.1737423332233856,5,62,0.71,0.9990000000000001,0.94565901340299,0.9563658027576394,1.1667590797878802
271,3.174616975195072,11,62,0.899,0.586,1.1945020906150332,2.0401137098922635,1.1705109737813473
282,3.1766245082066757,10,63,0.823,0.7090000000000001,0.23019292413076906,0.7612096825198839,1.4614304939750582
495,3.1775248513844434,6,46,0.718,0.872,0.4553585010967371,2.056288015965567,0.8977379759307951
439,3.178754056668873,6,63,0.7509999999999999,0.807,1.1317394109682841,3.3623339845637994,1.49137730919756
470,3.1797204155980134,6,53,0.772,0.9990000000000001,0.5896601018328638,2.847470987096342,0.9926283939275892
270,3.1804065649669826,13,60,0.899,0.5820000000000001,0.9306168246993124,1.3557753295508077,1.1478155120275917
147,3.180921298035895,13,63,0.88,0.654,0.9607695480724964,1.3428202225504364,1.0817105930764228
148,3.181148099112362,13,63,0.8809999999999999,0.6970000000000001,0.9074724329533976,2.4259178200719678,1.1070896252058446
441,3.1822406763166327,7,59,0.845,0.752,0.29466068844228005,2.4015827119367783,1.1255288340616971
320,3.182508164653512,4,64,0.856,0.9390000000000001,0.1760548761245016,2.233035530868066,1.2572705098427832
417,3.182985748510478,7,59,0.6629999999999999,0.9990000000000001,0.4237761106469317,3.2063556321036786,1.1394394249655306
406,3.1831857437289424,8,59,0.747,0.857,0.7949085142748188,1.9379084487029128,2.5111619110684837
158,3.18393542860389,12,54,0.8240000000000001,0.5920000000000001,0.6393871968176672,0.8573303841118559,0.9492984639946372
190,3.1844110498488813,6,56,0.884,0.636,1.4776612662383264,2.0900264970092137,1.1008516398724169
303,3.1853871937526725,10,63,0.7859999999999999,0.997,0.8063253559929696,3.2713183912893333,1.1227870180737227
428,3.185553055997297,1,64,0.6729999999999999,0.941,0.1123007352211419,1.792906069487907,1.2103205700404942
306,3.185663713733373,5,57,0.725,0.951,0.5735731083247253,4.507985019053465,1.1047720860224215
408,3.18733144602282,4,58,0.762,0.902,1.2545025672511172,2.1527019563707226,1.6192228738218546
423,3.1886149292596,4,63,0.7809999999999999,0.9179999999999999,0.4616001086733286,1.5249021368199749,1.4122388269752264
