,loss,min_data_in_leaf,num_leaves,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,train_time
174,1.7037253508776051,4,122,0.805,0.46299999999999997,0.1977481306237754,6.893185081900129,2.3771409438922997
157,1.716586774383236,2,123,0.804,0.456,0.6664884781871174,7.5333759518751835,1.9672385549638418
175,1.7302923426727794,7,45,0.7240000000000001,0.47,0.22478354185183336,7.000633263473496,0.9143698590341957
158,1.7333196019603814,2,123,0.804,0.446,0.8622125455874217,6.686383951040765,3.8147097339387983
169,1.7346426500972647,1,120,0.769,0.51,1.3386656634419618,7.0334039117341325,1.5276644870173186
153,1.7359387835840407,2,125,0.89,0.41,1.7980324560441818,6.0252668568507675,2.4050040221773092
159,1.7366244248598357,3,123,0.845,0.5489999999999999,0.7739036456180759,6.670344677187558,3.195518038002774
95,1.7377122426128833,5,127,0.7440000000000001,0.522,4.619079428686579,1.2500364978077476,1.4521376190241426
230,1.7395548686132911,3,120,0.606,0.462,1.4987076672608848,6.245511070477739,1.9656670531257987
91,1.740190470448988,2,105,0.71,0.525,4.291027115281324,1.5925269981651866,1.4293601159006355
164,1.740987714735352,1,126,0.847,0.627,1.1574397483752603,7.340810412137912,2.092207279987633
149,1.7448382562413471,6,108,0.863,0.373,2.601628272949123,3.241238397304167,1.3409187449142337
184,1.7461493665400336,3,46,0.787,0.479,1.1096588853793683,8.639702120779786,1.7771439738571644
223,1.7480200959033876,2,41,0.799,0.899,0.285648160344588,7.665200285689572,1.1893125609494746
214,1.7486454621620395,3,101,0.7809999999999999,0.342,1.1223677422173242,7.790616839778893,2.6132811950519685
182,1.749769249964486,4,33,0.828,0.382,0.3287903719510764,5.7826413671555486,1.3157672900706532
150,1.7503759637682836,4,108,0.877,0.313,0.3554938943385695,4.215122216519178,1.8487770750653
77,1.7506296329358808,10,90,0.6559999999999999,0.335,2.743470739377877,3.205974593208802,1.1074089407920835
171,1.751040303643786,2,120,0.873,0.35200000000000004,1.3486153312681841,7.123261928467247,2.990776389837265
203,1.7513917406852857,7,127,0.735,0.28,0.646251726802058,7.575660983774131,1.5232225940562785
213,1.7516484730873234,6,119,0.7140000000000001,0.655,0.7032929478527203,8.466176599198906,2.2554655910935253
